id_pdv;adresse;ville;latitude;longitude;pop;nom_carbu;id_carbu;maj;prix_carbu
31270007;8 AVENUE DE FRANCAZAL;Villeneuve-Tolosane;43.524;1.343;R;SP98;6;2026-08-28 00:01:00;1.99
91360004;LIAISON CD 25 A CD 17;Épinay-sur-Orge;48.668495636387995;2.3385703993892997;R;Gazole;1;2026-08-28 00:01:00;2.177
91360004;LIAISON CD 25 A CD 17;Épinay-sur-Orge;48.668495636387995;2.3385703993892997;R;E85;3;2026-08-28 00:01:00;0.909
91360004;LIAISON CD 25 A CD 17;Épinay-sur-Orge;48.668495636387995;2.3385703993892997;R;E10;5;2026-08-28 00:01:00;1.99
10000020;40, AVENUE CHOMEDEY DE MAISONNEU;TROYES;48.3044;4.0727;R;Gazole;1;2026-08-28 00:01:00;2.146
10000020;40, AVENUE CHOMEDEY DE MAISONNEU;TROYES;48.3044;4.0727;R;E85;3;2026-08-28 00:01:00;0.849
10000020;40, AVENUE CHOMEDEY DE MAISONNEU;TROYES;48.3044;4.0727;R;E10;5;2026-08-28 00:01:00;1.99
94450004;1 BIS AV GABRIEL PERI;Limeil-Brévannes;48.755;2.484;R;Gazole;1;2026-08-28 00:01:00;2.177
94450004;1 BIS AV GABRIEL PERI;Limeil-Brévannes;48.755;2.484;R;E85;3;2026-08-28 00:01:00;0.909
94450004;1 BIS AV GABRIEL PERI;Limeil-Brévannes;48.755;2.484;R;SP98;6;2026-08-28 00:01:00;1.99
44300015;78 BD ROBERT SCHUMAN;NANTES;47.2377;-1.56947;R;Gazole;1;2026-08-28 00:01:00;2.25
44300015;78 BD ROBERT SCHUMAN;NANTES;47.2377;-1.56947;R;E85;3;2026-08-28 00:01:00;0.864
31140004;2, rue du 8 mai 1945;PECHBONNIEU;43.707;1.466;R;Gazole;1;2026-08-28 09:00:00;2.189
31140004;2, rue du 8 mai 1945;PECHBONNIEU;43.707;1.466;R;SP95;2;2026-08-28 09:00:00;2.029
31140004;2, rue du 8 mai 1945;PECHBONNIEU;43.707;1.466;R;E10;5;2026-08-28 09:00:00;1.984
31140004;2, rue du 8 mai 1945;PECHBONNIEU;43.707;1.466;R;SP98;6;2026-08-28 09:00:00;2.074
90100003;37 FAUBOURG DE BELFORT;DELLE;47.512;6.999;R;E10;5;2026-08-28 08:30:00;2.037
90100003;37 FAUBOURG DE BELFORT;DELLE;47.512;6.999;R;SP98;6;2026-08-28 08:30:00;2.15
60280003;254 avenue de la république;CLAIROIX;49.4312668816;2.8373434750855;R;Gazole;1;2026-08-28 09:20:19;2.189
60280003;254 avenue de la république;CLAIROIX;49.4312668816;2.8373434750855;R;E10;5;2026-08-28 09:20:20;2.014
35170001;2 Place du Vert Buisson;BRUZ;48.028663730518;-1.7621273108673;R;Gazole;1;2026-08-28 09:30:55;2.149
35170001;2 Place du Vert Buisson;BRUZ;48.028663730518;-1.7621273108673;R;SP95;2;2026-08-28 09:30:55;2.033
35170001;2 Place du Vert Buisson;BRUZ;48.028663730518;-1.7621273108673;R;E85;3;2026-08-28 09:30:55;0.839
35170001;2 Place du Vert Buisson;BRUZ;48.028663730518;-1.7621273108673;R;E10;5;2026-08-28 09:30:55;1.983
35170001;2 Place du Vert Buisson;BRUZ;48.028663730518;-1.7621273108673;R;SP98;6;2026-08-28 09:30:55;2.075
56350002;2 Rue de la Briqueterie;RIEUX;47.631;-2.101;R;Gazole;1;2026-08-28 08:59:00;2.199
56350002;2 Rue de la Briqueterie;RIEUX;47.631;-2.101;R;E10;5;2026-08-28 08:59:00;2.019
56350002;2 Rue de la Briqueterie;RIEUX;47.631;-2.101;R;SP98;6;2026-08-28 08:59:00;2.129
59278003;10 RUE JEAN JAURES;Escautpont;50.424;3.564;R;Gazole;1;2026-08-28 08:31:47;2.198
59278003;10 RUE JEAN JAURES;Escautpont;50.424;3.564;R;E10;5;2026-08-28 08:31:47;2.028
59278003;10 RUE JEAN JAURES;Escautpont;50.424;3.564;R;SP98;6;2026-08-28 08:31:47;2.137
44700002;1 Rue de la Conraie;Orvault;47.262;-1.588;R;Gazole;1;2026-08-28 01:17:00;2.141
44700002;1 Rue de la Conraie;Orvault;47.262;-1.588;R;E10;5;2026-08-28 01:17:00;1.979
44700002;1 Rue de la Conraie;Orvault;47.262;-1.588;R;SP98;6;2026-08-28 01:17:00;2.089
31200020;103 BOULEVARD DE SUISSE;TOULOUSE;43.619;1.423;R;Gazole;1;2026-08-28 00:01:00;2.25
31200020;103 BOULEVARD DE SUISSE;TOULOUSE;43.619;1.423;R;E85;3;2026-08-28 00:01:00;0.869
31200020;103 BOULEVARD DE SUISSE;TOULOUSE;43.619;1.423;R;E10;5;2026-08-28 00:01:00;1.99
31200020;103 BOULEVARD DE SUISSE;TOULOUSE;43.619;1.423;R;SP98;6;2026-08-28 00:01:00;1.99
52100014;56 Rue de Vergy;SAINT-DIZIER;48.63059;4.9341;R;Gazole;1;2026-08-28 09:00:00;2.184
52100014;56 Rue de Vergy;SAINT-DIZIER;48.63059;4.9341;R;E85;3;2026-08-28 09:00:00;0.839
52100014;56 Rue de Vergy;SAINT-DIZIER;48.63059;4.9341;R;E10;5;2026-08-28 09:00:00;2.048
52100014;56 Rue de Vergy;SAINT-DIZIER;48.63059;4.9341;R;SP98;6;2026-08-28 09:00:00;2.157
62012001;6 rue Claude Bernard;ARRAS;50.301;2.736;R;Gazole;1;2026-08-28 09:40:30;2.153
62012001;6 rue Claude Bernard;ARRAS;50.301;2.736;R;E10;5;2026-08-28 09:40:31;1.992
62012001;6 rue Claude Bernard;ARRAS;50.301;2.736;R;SP98;6;2026-08-28 09:40:31;2.078
27340001;75 Avenue Forêt de Bord;Les Damps;49.301637;1.165554;R;Gazole;1;2026-08-28 01:00:00;2.149
27340001;75 Avenue Forêt de Bord;Les Damps;49.301637;1.165554;R;E10;5;2026-08-28 01:00:00;2.029
27340001;75 Avenue Forêt de Bord;Les Damps;49.301637;1.165554;R;SP98;6;2026-08-28 01:00:00;2.119
33610001;Centre Commercial Le Bourg;CESTAS;44.739698435813004;-0.6812641196847201;R;Gazole;1;2026-08-28 09:45:09;2.179
33610001;Centre Commercial Le Bourg;CESTAS;44.739698435813004;-0.6812641196847201;R;E85;3;2026-08-28 09:45:10;0.846
60000012;RN 31 - ROUTE DE CLERMONT;BEAUVAIS;49.431;2.118;R;Gazole;1;2026-08-28 00:01:00;2.25
60000012;RN 31 - ROUTE DE CLERMONT;BEAUVAIS;49.431;2.118;R;E85;3;2026-08-28 00:01:00;0.859
60000012;RN 31 - ROUTE DE CLERMONT;BEAUVAIS;49.431;2.118;R;E10;5;2026-08-28 00:01:00;1.99
59750005;126 ROUTE DE VALENCIENNES;FEIGNIES;50.281;3.907;R;Gazole;1;2026-08-28 00:01:00;2.172
59750005;126 ROUTE DE VALENCIENNES;FEIGNIES;50.281;3.907;R;E85;3;2026-08-28 00:01:00;0.829
59750005;126 ROUTE DE VALENCIENNES;FEIGNIES;50.281;3.907;R;E10;5;2026-08-28 00:01:00;1.99
59750005;126 ROUTE DE VALENCIENNES;FEIGNIES;50.281;3.907;R;SP98;6;2026-08-28 00:01:00;1.99
65800004;rue du XI novembre;AUREILHAN;43.248853174;0.0900200535935;R;Gazole;1;2026-08-28 09:47:38;2.229
13270012;ZI - SECTEUR 83 - RN 568;Fos-sur-Mer;43.471289006001;4.906991525412;R;Gazole;1;2026-08-28 00:01:00;2.169
13270012;ZI - SECTEUR 83 - RN 568;Fos-sur-Mer;43.471289006001;4.906991525412;R;GPLc;4;2026-08-28 00:01:00;0.979
13270012;ZI - SECTEUR 83 - RN 568;Fos-sur-Mer;43.471289006001;4.906991525412;R;E10;5;2026-08-28 00:01:00;1.99
13270012;ZI - SECTEUR 83 - RN 568;Fos-sur-Mer;43.471289006001;4.906991525412;R;SP98;6;2026-08-28 00:01:00;1.99
72400005;RD 323;CHERRE;48.175;0.653;R;Gazole;1;2026-08-28 07:45:33;2.299
13710004;Chemin du Jas de Bassas;Fuveau;43.445;5.553;R;SP95;2;2026-08-28 06:30:11;2.125
13710004;Chemin du Jas de Bassas;Fuveau;43.445;5.553;R;E10;5;2026-08-28 06:30:11;2.055
37110003;Rue du Petit Versailles;Château-Renault;47.591;0.899;R;Gazole;1;2026-08-28 07:59:04;2.219
37110003;Rue du Petit Versailles;Château-Renault;47.591;0.899;R;E85;3;2026-08-28 07:59:05;0.839
86102001;13 Avenue Honoré de Balzac;CHâTELLERAULT;46.792;0.526;R;Gazole;1;2026-08-28 00:01:00;2.127
38170004;115 AVENUE DE LA REPUBLIQUE;SEYSSINET;45.1758;5.69701;R;Gazole;1;2026-08-28 00:01:00;2.207
38170004;115 AVENUE DE LA REPUBLIQUE;SEYSSINET;45.1758;5.69701;R;E10;5;2026-08-28 00:01:00;1.99
13850001;ZAC des Pradeaux;Gréasque;43.436;5.54;R;E10;5;2026-08-28 06:30:35;2.05
13850001;ZAC des Pradeaux;Gréasque;43.436;5.54;R;SP98;6;2026-08-28 06:30:35;2.158
13200006;Avenue de la libération;Arles;43.706;4.641;R;Gazole;1;2026-08-28 01:16:00;2.189
13200006;Avenue de la libération;Arles;43.706;4.641;R;SP95;2;2026-08-28 01:16:00;2.077
13200006;Avenue de la libération;Arles;43.706;4.641;R;GPLc;4;2026-08-28 01:16:00;0.987
13200006;Avenue de la libération;Arles;43.706;4.641;R;E10;5;2026-08-28 01:16:00;1.964
95470006;2 AVENUE HENRI BARBUSSE;FOSSES;49.10021;2.52395;R;Gazole;1;2026-08-28 00:01:00;2.25
95470006;2 AVENUE HENRI BARBUSSE;FOSSES;49.10021;2.52395;R;E10;5;2026-08-28 00:01:00;1.99
95470006;2 AVENUE HENRI BARBUSSE;FOSSES;49.10021;2.52395;R;SP98;6;2026-08-28 00:01:00;1.99
13150006;BD JULES FERRY RD 99;TARASCON;43.80743;4.66179;R;Gazole;1;2026-08-28 00:01:00;2.212
13150006;BD JULES FERRY RD 99;TARASCON;43.80743;4.66179;R;E10;5;2026-08-28 00:01:00;1.99
13150006;BD JULES FERRY RD 99;TARASCON;43.80743;4.66179;R;SP98;6;2026-08-28 00:01:00;1.99
79000002;Boulevard de l'Atlantique;NIORT;46.317;-0.481;R;Gazole;1;2026-08-28 09:28:55;2.149
79000002;Boulevard de l'Atlantique;NIORT;46.317;-0.481;R;SP95;2;2026-08-28 09:28:55;2.029
